Date,Hour,Minutes,Load,Load_lin,Load_detrend
2014-04-06,11.5,22.5,12087776.400000002,12288166.377848774,-200389.97784877196
2014-04-13,11.5,22.5,12202005.200000014,12290465.86778831,-88460.66778829508
2014-04-20,11.5,22.5,11899839.500000011,12292765.357727844,-392925.8577278331
2014-04-27,11.5,22.5,11144484.800000008,12295064.84766738,-1150580.047667371
2014-05-04,11.5,22.5,10656319.700000003,12297364.337606914,-1641044.6376069114
2014-05-11,11.5,22.5,11622576.599999996,12299663.827546451,-677087.2275464553
2014-05-18,11.5,22.5,11665755.599999998,12301963.317485986,-636207.7174859885
2014-05-25,11.5,22.5,11605638.299999988,12304262.807425521,-698624.5074255336
2014-06-01,11.5,22.5,11470906.3,12306562.297365056,-835655.9973650556
2014-06-08,11.5,22.5,11524771.799999997,12308861.787304591,-784089.9873045944
2014-06-15,11.5,22.5,11794697.799999997,12311161.277244128,-516463.47724413127
2014-06-22,11.5,22.5,10817003.800000006,12313460.767183663,-1496456.967183657
2014-06-29,11.5,22.5,11443685.7,12315760.257123198,-872074.5571231991
2014-07-06,11.5,22.5,11532497.700000009,12318059.747062733,-785562.0470627248
2014-07-13,11.5,22.5,11812119.099999992,12320359.237002268,-508240.13700227626
2014-07-20,11.5,22.5,11880031.999999994,12322658.726941805,-442626.7269418109
2014-07-27,11.5,22.5,11839019.800000008,12324958.21688134,-485938.4168813322
2014-08-03,11.5,22.5,11874940.9,12327257.706820875,-452316.80682087503
2014-08-10,11.5,22.5,11611319.200000001,12329557.19676041,-718237.9967604093
2014-08-17,11.5,22.5,11002355.199999997,12331856.686699945,-1329501.486699948
2014-08-24,11.5,22.5,11485714.100000005,12334156.176639482,-848442.0766394772
