,lower Load,upper Load,mean Load
2016-12-29 23:00:00,52487.38717186547,100844.65955059332,76666.0233612294
2016-12-30 00:00:00,47742.50767321516,96121.53583971394,71932.02175646454
2016-12-30 01:00:00,45140.25354798477,93580.9678618666,69360.61070492568
2016-12-30 02:00:00,43563.154386626964,92099.06722413059,67831.11080537878
2016-12-30 03:00:00,43399.13045456336,92040.0704586289,67719.60045659613
2016-12-30 04:00:00,44482.29162217301,93220.06540181983,68851.17851199642
2016-12-30 05:00:00,46879.586025129276,95704.72435511684,71292.15519012306
2016-12-30 06:00:00,55021.98083857012,103931.43497127951,79476.70790492481
2016-12-30 07:00:00,62656.72135222776,111649.64692981399,87153.18414102087
2016-12-30 08:00:00,65549.02485968583,114618.83866466407,90083.93176217495
2016-12-30 09:00:00,67908.37752493731,117049.73738642926,92479.05745568329
2016-12-30 10:00:00,68014.55149885123,117224.99897081904,92619.77523483514
2016-12-30 11:00:00,69016.16276704788,118289.25504655013,93652.708906799
2016-12-30 12:00:00,69031.80234995438,118360.03654904649,93695.91944950043
2016-12-30 13:00:00,69766.09176689232,119145.85000983838,94455.97088836535
2016-12-30 14:00:00,68191.96729415002,117619.13164565749,92905.54946990375
2016-12-30 15:00:00,68621.62809912868,118092.40541338544,93357.01675625706
2016-12-30 16:00:00,72774.52475543706,122286.0624072891,97530.29358136308
2016-12-30 17:00:00,72695.25585762807,122243.73978986198,97469.49782374503
2016-12-30 18:00:00,71474.51087255128,121057.19833877763,96265.85460566446
2016-12-30 19:00:00,70941.86677585369,120557.5665103664,95749.71664311005
2016-12-30 20:00:00,68483.58750361059,118128.75331774665,93306.17041067862
2016-12-30 21:00:00,63426.79841378916,113098.50005434602,88262.64923406759
2016-12-30 22:00:00,57387.379652560885,107084.6837803176,82236.03171643925
2016-12-30 23:00:00,51805.12882717011,101525.94808667552,76665.53845692282
2016-12-31 00:00:00,47060.41736451199,96802.26420266493,71931.34078358846
2016-12-31 01:00:00,44458.94507097211,94260.55090204021,69359.74798650616
2016-12-31 02:00:00,42883.73286690547,92777.68281122179,67830.70783906363
2016-12-31 03:00:00,42721.05814507128,92716.923135706,67718.99064038864
2016-12-31 04:00:00,43805.49774865473,93895.31054775302,68850.40414820387
2016-12-31 05:00:00,46204.50099667086,96379.10436454948,71291.80268061017
2016-12-31 06:00:00,54347.94951128904,104604.40090782833,79476.17520955869
2016-12-31 07:00:00,61983.73346647645,112321.20077838383,87152.46712243014
2016-12-31 08:00:00,64877.57607124866,115289.69932742568,90083.63769933717
2016-12-31 09:00:00,67237.7777154957,117719.37805014345,92478.57788281958
2016-12-31 10:00:00,67344.7922239545,117893.46920930535,92619.13071662992
2016-12-31 11:00:00,68347.69458068919,118957.21394361858,93652.45426215389
2016-12-31 12:00:00,68363.96638131962,119027.04493435001,93695.50565783482
2016-12-31 13:00:00,69098.82186606625,119811.92943071877,94455.37564839251
2016-12-31 14:00:00,67525.76464385276,118284.92138041886,92905.34301213581
2016-12-31 15:00:00,67955.88265930169,118757.40773194013,93356.6451956209
2016-12-31 16:00:00,72109.20086087518,122950.30963056431,97529.75524571975
2016-12-31 17:00:00,72030.817403619,122907.81907658683,97469.31824010292
2016-12-31 18:00:00,70810.41522349071,121720.64952636862,96265.53237492967
2016-12-31 19:00:00,70278.06717699085,121220.36460579632,95749.21589139359
2016-12-31 20:00:00,67820.56404457487,118791.49161204828,93306.02782831158
2016-12-31 21:00:00,62764.00418644167,113760.71652150761,88262.36035397464
2016-12-31 22:00:00,56724.78864490594,107746.36900009125,82235.57882249859
2016-12-31 23:00:00,51143.2029485847,102187.63334061955,76665.41814460212
2017-01-01 00:00:00,46398.662614458335,97463.52794794054,71931.09528119944
